time,SSID,BSSID,RSSI
2024-11-17T09:40:31.459,ST_5G,0c:96:cd:75:5e:c2,-77
2024-11-17T09:40:31.459,U+Net9F68_5G,80:ca:4b:49:9f:6b,-81
2024-11-17T09:40:31.459,garamjueng (5.0),3c:7c:3f:61:a5:d4,-83
2024-11-17T09:40:31.459,KT_GiGA_5G_E27C,b4:a9:4f:93:e2:7f,-92
2024-11-17T09:40:31.459,ynyh5G,58:86:94:46:58:f8,-90
2024-11-17T09:40:31.459,ynyh,58:86:94:46:58:fa,-84
2024-11-17T09:40:31.459,JJ_HOME,28:87:ba:4c:f9:fb,-83
2024-11-17T09:40:31.459,hun_mylgnet5G,64:e5:99:34:13:c8,-90
2024-11-17T09:40:31.459,olleh_GiGA_WiFi_F9F0,00:07:89:3f:f9:f4,-81
2024-11-17T09:40:31.459,SEOUL_Secure,0c:0a:f5:d7:53:2b,-88
2024-11-17T09:40:31.459,iptime9_5G,58:86:94:24:e5:68,-88
2024-11-17T09:40:31.459,[refrigerator] Samsung,70:2c:1f:62:db:18,-84
2024-11-17T09:40:31.459,gggg,a8:42:a1:c6:18:63,-81
2024-11-17T09:40:31.459,[fridge]_E30AJT5123450R,1c:e8:9e:ca:25:a2,-87
2024-11-17T09:40:31.459,303_2.4G,88:36:6c:42:f1:34,-81
2024-11-17T09:40:31.459,U+NetA35B,0c:96:cd:a4:a3:5a,-83
2024-11-17T09:40:31.459,KT_GiGA_2G_Wave2_D00F,00:07:89:a1:d0:12,-85
2024-11-17T09:40:31.459,303_5G,88:36:6c:42:f1:36,-91
2024-11-17T09:40:31.459,KT_GiGA_5G_F845,1c:ec:72:0e:f8:49,-79
2024-11-17T09:40:31.459,iptime5G,88:36:6c:58:65:08,-94
2024-11-17T09:40:31.459,KT_GiGA_5G_1948,88:3c:1c:53:19:4b,-93
2024-11-17T09:40:31.459,mayo,70:5d:cc:9c:bc:6a,-80
2024-11-17T09:40:31.459,iptime,88:36:6c:58:65:0a,-81
2024-11-17T09:40:31.459,SK_9FBC_5G,28:4e:e9:0d:9f:be,-89
2024-11-17T09:40:31.459,DIRECT-04-HP OfficeJet Pro 7720,ca:5a:cf:7f:85:04,-85
2024-11-17T09:40:31.459,GMGK_5G,80:ca:4b:6e:4f:db,-93
2024-11-17T09:40:31.459,STR_WLAN_LOCAL,18:7c:0b:1e:7f:5c,-88
2024-11-17T09:40:31.459,STR_WLAN,18:7c:0b:5e:7f:5c,-88
2024-11-17T09:40:31.459,OFC_WLAN,18:7c:0b:9e:7f:5c,-88
2024-11-17T09:40:31.459,Office.Net,18:7c:0b:de:7f:5c,-89
2024-11-17T09:40:31.459,CNMDATA,18:53:e0:07:b8:c6,-79
2024-11-17T09:40:31.459,KT_GiGA_764C,60:29:d5:40:76:50,-87
2024-11-17T09:40:31.459,kimjh,90:9f:33:ae:0a:8a,-79
2024-11-17T09:40:31.459,[LG_StickVacuum]de19,66:cb:e9:f2:de:19,-82
2024-11-17T09:40:31.459,yjhhome,00:26:66:51:27:2c,-86
2024-11-17T09:40:31.459,AT_303_WBEI3_ef26,66:cb:e9:55:ef:26,-81
2024-11-17T09:40:31.459,Public WiFi Free,02:06:ac:80:4a:b6,-90
2024-11-17T09:40:31.459,Hoon,70:5d:cc:aa:c0:b6,-85
2024-11-17T09:40:36.408,ST_5G,0c:96:cd:75:5e:c2,-84
2024-11-17T09:40:36.408,U+Net9F68_5G,80:ca:4b:49:9f:6b,-79
2024-11-17T09:40:36.408,CVS4U,00:d3:a9:aa:b2:b5,-80
2024-11-17T09:40:36.408,garamjueng (5.0),3c:7c:3f:61:a5:d4,-82
2024-11-17T09:40:36.408,KT_GiGA_5G_Wave2_ED48,b4:a9:4f:34:ed:4b,-80
